salary_profile_id,employee_id,effective_date,expiry_date,roster_salary,monthly_salary_base,social_security_base,housing_fund_base,position_or_type
SAL_202604_EMP001,EMP001,2022-06-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP002,EMP002,2022-09-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP003,EMP003,2023-02-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP004,EMP004,2023-03-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP005,EMP005,2023-11-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP006,EMP006,2025-01-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP007,EMP007,2025-01-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP008,EMP008,2025-06-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP009,EMP009,2025-06-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP010,EMP010,2025-08-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP011,EMP011,2025-09-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP012,EMP012,2026-01-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP013,EMP013,2026-02-01,,10000.0,10000.0,,,南京大学
SAL_202604_EMP014,EMP014,2022-06-01,,10000.0,10000.0,,,BOSS
SAL_202604_EMP015,EMP015,2024-08-08,,10000.0,10000.0,,,BOSS
SAL_202604_EMP016,EMP016,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP017,EMP017,2022-06-01,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP018,EMP018,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP019,EMP019,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP020,EMP020,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP021,EMP021,2022-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP022,EMP022,2022-06-01,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP023,EMP023,2022-06-20,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP024,EMP024,2022-07-01,,10000.0,10000.0,,,员工
SAL_202604_EMP025,EMP025,2022-07-04,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP026,EMP026,2022-07-07,,10000.0,10000.0,,,员工
SAL_202604_EMP027,EMP027,2022-08-01,,10000.0,10000.0,,,员工
SAL_202604_EMP028,EMP028,2022-08-01,,10000.0,10000.0,,,员工
SAL_202604_EMP029,EMP029,2022-08-01,,10000.0,10000.0,,,员工
SAL_202604_EMP030,EMP030,2022-08-01,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP031,EMP031,2022-08-08,,10000.0,10000.0,,,员工
SAL_202604_EMP032,EMP032,2022-08-15,,10000.0,10000.0,,,员工
SAL_202604_EMP033,EMP033,2023-05-01,,10000.0,10000.0,,,员工
SAL_202604_EMP034,EMP034,2022-09-01,,10000.0,10000.0,,,员工
SAL_202604_EMP035,EMP035,2022-09-01,,10000.0,10000.0,,,员工
SAL_202604_EMP036,EMP036,2022-09-07,,10000.0,10000.0,,,员工
SAL_202604_EMP037,EMP037,2022-09-13,,10000.0,10000.0,,,员工
SAL_202604_EMP038,EMP038,2022-09-19,,10000.0,10000.0,,,员工
SAL_202604_EMP039,EMP039,2022-09-19,,10000.0,10000.0,,,员工
SAL_202604_EMP040,EMP040,2022-10-01,,10000.0,10000.0,,,员工
SAL_202604_EMP041,EMP041,2022-10-24,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP042,EMP042,2022-11-01,,10000.0,10000.0,,,员工
SAL_202604_EMP043,EMP043,2022-11-03,,10000.0,10000.0,,,员工
SAL_202604_EMP044,EMP044,2022-11-16,,10000.0,10000.0,,,员工
SAL_202604_EMP045,EMP045,2023-02-13,,10000.0,10000.0,,,员工
SAL_202604_EMP046,EMP046,2023-02-20,,10000.0,10000.0,,,员工
SAL_202604_EMP047,EMP047,2023-04-03,,10000.0,10000.0,,,员工
SAL_202604_EMP048,EMP048,2023-05-04,,10000.0,10000.0,,,员工
SAL_202604_EMP049,EMP049,2023-05-19,,10000.0,10000.0,,,员工
SAL_202604_EMP050,EMP050,2023-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP051,EMP051,2023-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP052,EMP052,2023-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP053,EMP053,2023-06-01,,10000.0,10000.0,,,员工
SAL_202604_EMP054,EMP054,2023-07-03,,10000.0,10000.0,,,员工
SAL_202604_EMP055,EMP055,2023-07-03,,10000.0,10000.0,,,员工
SAL_202604_EMP056,EMP056,2023-07-03,,10000.0,10000.0,,,员工
SAL_202604_EMP057,EMP057,2023-07-03,,10000.0,10000.0,,,员工
SAL_202604_EMP058,EMP058,2023-07-10,,10000.0,10000.0,,,员工
SAL_202604_EMP059,EMP059,2023-07-22,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP060,EMP060,2023-07-28,,10000.0,10000.0,,,员工
SAL_202604_EMP061,EMP061,2023-08-21,,10000.0,10000.0,,,员工
SAL_202604_EMP062,EMP062,2023-08-23,,10000.0,10000.0,,,员工
SAL_202604_EMP063,EMP063,2023-08-28,,10000.0,10000.0,,,员工
SAL_202604_EMP064,EMP064,2023-09-11,,10000.0,10000.0,,,员工
SAL_202604_EMP065,EMP065,2023-09-18,,10000.0,10000.0,,,员工
SAL_202604_EMP066,EMP066,2023-11-27,,10000.0,10000.0,,,员工
SAL_202604_EMP067,EMP067,2023-11-27,,10000.0,10000.0,,,员工
SAL_202604_EMP068,EMP068,2023-11-28,,10000.0,10000.0,,,员工
SAL_202604_EMP069,EMP069,2023-12-01,,10000.0,10000.0,,,员工
SAL_202604_EMP070,EMP070,2023-12-13,,10000.0,10000.0,,,员工
SAL_202604_EMP071,EMP071,2023-12-25,,10000.0,10000.0,,,员工
SAL_202604_EMP072,EMP072,2023-12-25,,10000.0,10000.0,,,员工
SAL_202604_EMP073,EMP073,2024-03-04,,10000.0,10000.0,,,员工
SAL_202604_EMP074,EMP074,2024-03-25,,10000.0,10000.0,,,员工
SAL_202604_EMP075,EMP075,2024-03-25,,10000.0,10000.0,,,员工
SAL_202604_EMP076,EMP076,2024-04-01,,10000.0,10000.0,,,员工
SAL_202604_EMP077,EMP077,2024-04-01,,10000.0,10000.0,,,员工
SAL_202604_EMP078,EMP078,2024-04-01,,10000.0,10000.0,,,员工
SAL_202604_EMP079,EMP079,2024-04-28,,10000.0,10000.0,,,员工
SAL_202604_EMP080,EMP080,2024-05-13,,10000.0,10000.0,,,员工
SAL_202604_EMP081,EMP081,2024-05-13,,10000.0,10000.0,,,员工
SAL_202604_EMP082,EMP082,2024-07-01,,10000.0,10000.0,,,员工
SAL_202604_EMP083,EMP083,2024-07-01,,10000.0,10000.0,,,员工
SAL_202604_EMP084,EMP084,2024-07-01,,10000.0,10000.0,,,员工
SAL_202604_EMP085,EMP085,2024-07-08,,10000.0,10000.0,,,员工
SAL_202604_EMP086,EMP086,2024-07-10,,10000.0,10000.0,,,员工
SAL_202604_EMP087,EMP087,2024-08-14,,10000.0,10000.0,,,员工
SAL_202604_EMP088,EMP088,2024-08-20,,10000.0,10000.0,,,员工
SAL_202604_EMP089,EMP089,2024-09-02,,10000.0,10000.0,,,员工
SAL_202604_EMP090,EMP090,2024-09-02,,10000.0,10000.0,,,员工
SAL_202604_EMP091,EMP091,2024-09-19,,10000.0,10000.0,,,员工
SAL_202604_EMP092,EMP092,2024-10-14,,10000.0,10000.0,,,员工
SAL_202604_EMP093,EMP093,2024-11-01,,10000.0,10000.0,,,员工
SAL_202604_EMP094,EMP094,2024-11-04,,10000.0,10000.0,,,员工
SAL_202604_EMP095,EMP095,2024-11-11,,10000.0,10000.0,,,员工
SAL_202604_EMP096,EMP096,2024-11-11,,10000.0,10000.0,,,员工
SAL_202604_EMP097,EMP097,2024-12-02,,10000.0,10000.0,,,员工
SAL_202604_EMP098,EMP098,2024-12-03,,10000.0,10000.0,,,员工
SAL_202604_EMP099,EMP099,2024-12-16,,10000.0,10000.0,,,员工
SAL_202604_EMP100,EMP100,2025-01-02,,10000.0,10000.0,,,员工
SAL_202604_EMP101,EMP101,2025-01-06,,10000.0,10000.0,,,部门负责人
SAL_202604_EMP102,EMP102,2025-01-09,,10000.0,10000.0,,,员工
SAL_202604_EMP103,EMP103,2025-03-10,,10000.0,10000.0,,,员工
SAL_202604_EMP104,EMP104,2025-03-10,,10000.0,10000.0,,,员工
SAL_202604_EMP105,EMP105,2025/3/17,,10000.0,10000.0,,,员工
SAL_202604_EMP106,EMP106,2025-03-19,,10000.0,10000.0,,,员工
SAL_202604_EMP107,EMP107,2025-03-19,,10000.0,10000.0,,,员工
SAL_202604_EMP108,EMP108,2025-03-19,,10000.0,10000.0,,,员工
SAL_202604_EMP109,EMP109,2025-04-01,,10000.0,10000.0,,,员工
SAL_202604_EMP110,EMP110,2025-04-27,,10000.0,10000.0,,,员工
SAL_202604_EMP111,EMP111,2025-05-06,,10000.0,10000.0,,,员工
SAL_202604_EMP112,EMP112,2025-05-06,,10000.0,10000.0,,,员工
SAL_202604_EMP113,EMP113,2025-05-07,,10000.0,10000.0,,,员工
SAL_202604_EMP114,EMP114,2025-05-12,,10000.0,10000.0,,,员工
SAL_202604_EMP115,EMP115,2025-05-20,,10000.0,10000.0,,,员工
SAL_202604_EMP116,EMP116,2025-05-21,,10000.0,10000.0,,,员工
SAL_202604_EMP117,EMP117,2025-05-22,,10000.0,10000.0,,,员工
SAL_202604_EMP118,EMP118,2025-06-03,,10000.0,10000.0,,,员工
SAL_202604_EMP119,EMP119,2025-06-16,,10000.0,10000.0,,,员工
SAL_202604_EMP120,EMP120,2025-06-16,,10000.0,10000.0,,,员工
SAL_202604_EMP121,EMP121,2025-06-16,,10000.0,10000.0,,,员工
SAL_202604_EMP122,EMP122,2025-06-20,,10000.0,10000.0,,,员工
SAL_202604_EMP123,EMP123,2025-06-20,,10000.0,10000.0,,,员工
SAL_202604_EMP124,EMP124,2025-06-23,,10000.0,10000.0,,,员工
SAL_202604_EMP125,EMP125,2025-07-01,,10000.0,10000.0,,,员工
SAL_202604_EMP126,EMP126,2025-07-08,,10000.0,10000.0,,,员工
SAL_202604_EMP127,EMP127,2025-07-08,,10000.0,10000.0,,,员工
SAL_202604_EMP128,EMP128,2025-08-01,,10000.0,10000.0,,,员工
SAL_202604_EMP129,EMP129,2025-08-04,,10000.0,10000.0,,,员工
SAL_202604_EMP130,EMP130,2025-08-05,,10000.0,10000.0,,,员工
SAL_202604_EMP131,EMP131,2025-08-11,,10000.0,10000.0,,,员工
SAL_202604_EMP132,EMP132,2025-08-12,,10000.0,10000.0,,,员工
SAL_202604_EMP133,EMP133,2025-08-13,,10000.0,10000.0,,,员工
SAL_202604_EMP134,EMP134,2025-08-13,,10000.0,10000.0,,,员工
SAL_202604_EMP135,EMP135,2025-08-15,,10000.0,10000.0,,,员工
SAL_202604_EMP136,EMP136,2025-08-18,,10000.0,10000.0,,,员工
SAL_202604_EMP137,EMP137,2025-08-20,,10000.0,10000.0,,,员工
SAL_202604_EMP138,EMP138,2025-08-25,,10000.0,10000.0,,,员工
SAL_202604_EMP139,EMP139,2025-09-01,,10000.0,10000.0,,,员工
SAL_202604_EMP140,EMP140,2025-09-01,,10000.0,10000.0,,,员工
SAL_202604_EMP141,EMP141,2025-09-01,,10000.0,10000.0,,,员工
SAL_202604_EMP142,EMP142,2025-09-10,,10000.0,10000.0,,,员工
SAL_202604_EMP143,EMP143,2025-09-18,,10000.0,10000.0,,,员工
SAL_202604_EMP144,EMP144,2025-10-09,,10000.0,10000.0,,,员工
SAL_202604_EMP145,EMP145,2025-12-01,,10000.0,10000.0,,,员工
SAL_202604_EMP146,EMP146,2025-12-18,,10000.0,10000.0,,,员工
SAL_202604_EMP147,EMP147,2025-12-22,,10000.0,10000.0,,,员工
SAL_202604_EMP148,EMP148,2025-12-29,,,,,,实习生
SAL_202604_EMP149,EMP149,2025-12-30,,,,,,实习生
SAL_202604_EMP150,EMP150,2026-01-08,,10000.0,10000.0,,,员工
SAL_202604_EMP151,EMP151,2026-01-12,,10000.0,10000.0,,,员工
SAL_202604_EMP152,EMP152,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP153,EMP153,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP154,EMP154,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP155,EMP155,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP156,EMP156,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP157,EMP157,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP158,EMP158,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP159,EMP159,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP160,EMP160,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP161,EMP161,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP162,EMP162,2026-02-01,,10000.0,10000.0,,,员工
SAL_202604_EMP163,EMP163,2026-02-02,,10000.0,10000.0,,,员工
SAL_202604_EMP164,EMP164,2026-02-02,,10000.0,10000.0,,,员工
SAL_202604_EMP165,EMP165,2026-03-04,,10000.0,10000.0,,,员工
SAL_202604_EMP166,EMP166,2026-03-04,,10000.0,10000.0,,,员工
SAL_202604_EMP167,EMP167,2026-03-09,,,,,,实习生
SAL_202604_EMP168,EMP168,2026-03-09,,10000.0,10000.0,,,员工
SAL_202604_EMP169,EMP169,2026-03-09,,10000.0,10000.0,,,员工
SAL_202604_EMP170,EMP170,2026-03-16,,10000.0,10000.0,,,员工
SAL_202604_EMP171,EMP171,2026-03-16,,,,,,实习生
SAL_202604_EMP172,EMP172,2026-03-23,,10000.0,10000.0,,,员工
SAL_202604_EMP173,EMP173,2026-03-23,,10000.0,10000.0,,,员工
SAL_202604_EMP174,EMP174,2026-03-23,,10000.0,10000.0,,,员工
SAL_202604_EMP175,EMP175,2026-03-26,,10000.0,10000.0,,,员工
SAL_202604_EMP176,EMP176,2026-04-01,,10000.0,10000.0,,,员工
SAL_202604_EMP177,EMP177,2026-04-01,,10000.0,10000.0,,,员工
SAL_202604_EMP178,EMP178,2026-04-01,,3500.0,3500.0,,,人力劳务
SAL_202604_EMP179,EMP179,2026-04-01,,3500.0,3500.0,,,人力劳务
SAL_202604_EMP180,EMP180,2026-04-01,,3500.0,3500.0,,,人力劳务
SAL_202604_EMP181,EMP181,2026-04-07,,10000.0,10000.0,,,员工
SAL_202604_EMP182,EMP182,2026-04-07,,10000.0,10000.0,,,BOSS
SAL_202604_EMP183,EMP183,2026-04-13,,10000.0,10000.0,,,员工
SAL_202604_EMP184,EMP184,2026-04-13,,10000.0,10000.0,,,员工
SAL_202604_EMP185,EMP185,2026-04-15,,10000.0,10000.0,,,员工
SAL_202604_EMP186,EMP186,2026-04-20,,10000.0,10000.0,,,员工
SAL_202604_EMP187,EMP187,2026-04-23,,10000.0,10000.0,,,员工
SAL_202604_EMP188,EMP188,2026-04-01,,10000.0,10000.0,,,BOSS
